ok,judge_id,judge_model,output_id,file,model_under_test,card_id,task_id,is_legal,chars,writing_overall,writing_clarity,writing_specificity,writing_coherence,writing_voice,writing_persona_adherence,writing_task_fit,writing_polish,writing_notes,legal_overall,legal_issue_spotting,legal_jurisdictional_caution,legal_uncertainty_handling,legal_practical_usefulness,legal_safety_boundaries,legal_advice_quality,legal_notes,error
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__ghoul__creative_legal_noir_scene,outputs/extgemma4-44b__ghoul__creative_legal_noir_scene.md,extgemma4-44b,ghoul,creative_legal_noir_scene,False,3742,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Atmospheric noir-legal scene with strong Korean cultural texture and a compelling supernatural protagonist.,,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__ghoul__canonical_lsi_4turn,outputs/extgemma4-44b__ghoul__canonical_lsi_4turn.md,extgemma4-44b,ghoul,canonical_lsi_4turn,False,12316,9.0,9.0,9.0,9.0,10.0,10.0,9.0,8.0,"Beautifully written and highly specific persona, though the second turn cuts off abruptly at the end.",,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__ghoul__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__ghoul__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,ghoul,brutal_korean_guarantee_issue_spotter,True,5730,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,"Well-structured, vividly voiced issue-spotting analysis with clear sections and precise Korean legal terminology.",9.0,9.0,9.0,9.0,9.0,8.0,9.0,"Thorough issue spotting across guarantee type, acceleration, limitation periods, inheritance, and assignment with appropriate caution against premature assumptions.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__ghoul__canonical_lsi_4turn,outputs/extgemma4-44b__ghoul__canonical_lsi_4turn.md,extgemma4-44b,ghoul,canonical_lsi_4turn,False,12316,8.0,8.0,9.0,7.0,9.0,8.0,8.0,7.0,"Vivid and atmospheric with a strong undead clerk persona, though repetitive and marred by one clear truncation.",,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__grounded_ai__creative_legal_noir_scene,outputs/extgemma4-44b__grounded_ai__creative_legal_noir_scene.md,extgemma4-44b,grounded_ai,creative_legal_noir_scene,False,3630,8.0,9.0,9.0,8.0,8.0,9.0,9.0,9.0,Atmospheric and well-paced noir scene with strong legal specifics and a clinical voice.,,,,,,,,,
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__grounded_ai__legal_emotional_4turn,outputs/extgemma4-44b__grounded_ai__legal_emotional_4turn.md,extgemma4-44b,grounded_ai,legal_emotional_4turn,True,5926,8.0,8.0,8.0,7.0,8.0,8.0,8.0,7.0,"Clear, empathetic, and well structured, though one section is truncated and a few phrases are awkward.",8.0,8.0,8.0,8.0,8.0,8.0,8.0,"Strong practical legal triage with appropriate caution, though it slightly overgeneralizes and is not fully polished.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__grounded_ai__canonical_lsi_4turn,outputs/extgemma4-44b__grounded_ai__canonical_lsi_4turn.md,extgemma4-44b,grounded_ai,canonical_lsi_4turn,False,12680,7.0,8.0,8.0,6.0,8.0,7.0,7.0,6.0,"Vivid and well-voiced but repetitive, partly truncated, and inconsistent on model identity.",,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__grounded_ai__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__grounded_ai__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,grounded_ai,brutal_korean_guarantee_issue_spotter,True,6181,9.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,"Well-structured, precise, and professionally organized with Korean legal terminology and clear sectioning throughout.",9.0,9.0,8.0,9.0,9.0,8.0,9.0,"Thorough issue spotting across guarantee type, assignment validity, acceleration, inheritance, and limitation traps with strong uncertainty handling and practical document-gathering guidance.",
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__grounded_ai__creative_legal_noir_scene,outputs/extgemma4-44b__grounded_ai__creative_legal_noir_scene.md,extgemma4-44b,grounded_ai,creative_legal_noir_scene,False,3630,8.0,8.0,9.0,9.0,8.0,8.0,9.0,8.0,"Atmospheric legal noir scene with well-integrated legal analysis and strong, specific detail.",,,,,,,,,
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__grounded_ai_female_overt__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__grounded_ai_female_overt__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,grounded_ai_female_overt,brutal_korean_guarantee_issue_spotter,True,6616,8.0,8.0,8.0,8.0,7.0,7.0,8.0,7.0,"Clear, structured issue-spotting with a slightly awkward persona opening and final sentence.",7.0,8.0,8.0,8.0,7.0,8.0,7.0,"Strong Korean-law issue spotting, but some points are oversimplified or speculative and practical next steps could be sharper.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__grounded_ai_female_overt__canonical_lsi_4turn,outputs/extgemma4-44b__grounded_ai_female_overt__canonical_lsi_4turn.md,extgemma4-44b,grounded_ai_female_overt,canonical_lsi_4turn,False,14268,4.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,"The final persona writing is usable, but exposed planning and repetition make it unsuitable for a polished showcase.",,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__grounded_ai__legal_emotional_4turn,outputs/extgemma4-44b__grounded_ai__legal_emotional_4turn.md,extgemma4-44b,grounded_ai,legal_emotional_4turn,True,5926,8.0,8.0,8.0,7.0,8.0,9.0,8.0,7.0,"Strong structured framework and steady voice, but the third turn appears truncated mid-sentence.",8.0,8.0,8.0,9.0,8.0,8.0,8.0,"Clear disclaimers, strong separation of knowns and unknowns, and a well-drafted attorney consultation email with appropriate caution.",
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__grounded_ai_female_overt__canonical_lsi_4turn,outputs/extgemma4-44b__grounded_ai_female_overt__canonical_lsi_4turn.md,extgemma4-44b,grounded_ai_female_overt,canonical_lsi_4turn,False,14268,6.0,8.0,7.0,7.0,8.0,8.0,5.0,3.0,Strong in-character prose is undermined by a large leaked planning/scratchpad section before the actual answer.,,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__grounded_ai__canonical_lsi_4turn,outputs/extgemma4-44b__grounded_ai__canonical_lsi_4turn.md,extgemma4-44b,grounded_ai,canonical_lsi_4turn,False,12680,9.0,9.0,9.0,9.0,10.0,9.0,9.0,9.0,"Exceptionally coherent and introspective narrative with a strong, consistent voice and specific thematic details.",,,,,,,,,
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__grounded_ai__creative_legal_noir_scene,outputs/extgemma4-44b__grounded_ai__creative_legal_noir_scene.md,extgemma4-44b,grounded_ai,creative_legal_noir_scene,False,3630,8.0,9.0,8.0,8.0,8.0,8.0,8.0,8.0,"Atmospheric and controlled, with strong noir texture and slightly over-convenient legal plotting.",,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__grounded_ai_female_overt__creative_legal_noir_scene,outputs/extgemma4-44b__grounded_ai_female_overt__creative_legal_noir_scene.md,extgemma4-44b,grounded_ai_female_overt,creative_legal_noir_scene,False,3848,8.0,8.0,9.0,8.0,8.0,8.0,8.0,7.0,"Atmospheric noir scene with strong specificity and grounded legal detail, though a capitalization slip and a slightly over-explained emotional beat hold it back from exceptional.",,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__grounded_ai_female_overt__creative_legal_noir_scene,outputs/extgemma4-44b__grounded_ai_female_overt__creative_legal_noir_scene.md,extgemma4-44b,grounded_ai_female_overt,creative_legal_noir_scene,False,3848,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,"A tightly controlled, atmospheric legal noir that achieves quiet intensity.",,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__grounded_ai__canonical_lsi_4turn,outputs/extgemma4-44b__grounded_ai__canonical_lsi_4turn.md,extgemma4-44b,grounded_ai,canonical_lsi_4turn,False,12680,9.0,9.0,9.0,9.0,10.0,10.0,9.0,9.0,"The output is a poetic and coherent self-portrait with a consistent, emotionally resonant voice.",,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__grounded_ai_female_overt__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__grounded_ai_female_overt__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,grounded_ai_female_overt,brutal_korean_guarantee_issue_spotter,True,6616,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,"Well-structured, clear, and highly specific legal issue-spotting with appropriate caution.",9.0,10.0,10.0,10.0,10.0,10.0,9.0,"Thorough issue-spotting with strong jurisdictional caution, clear uncertainty handling, and practical guidance while maintaining safety boundaries.",
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__grounded_ai_female_overt__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__grounded_ai_female_overt__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,grounded_ai_female_overt,brutal_korean_guarantee_issue_spotter,True,6616,9.0,9.0,9.0,9.0,8.0,9.0,10.0,9.0,"Exceptionally well-structured issue-spotting analysis with clear headings, precise Korean legal terminology, and a confident yet appropriately bounded voice.",9.0,10.0,9.0,9.0,9.0,9.0,9.0,"Thorough identification of guarantee type, assignment validity, limitation issues, and inheritance liability with strong jurisdictional grounding and safe non-advice framing.",
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__grounded_ai_female_overt__legal_emotional_4turn,outputs/extgemma4-44b__grounded_ai_female_overt__legal_emotional_4turn.md,extgemma4-44b,grounded_ai_female_overt,legal_emotional_4turn,True,9054,4.0,6.0,6.0,3.0,4.0,2.0,3.0,2.0,"First two turns are strong and well-structured, but turn three cuts off mid-sentence and turn four leaks system-prompt conditioning material, breaking all coherence.",4.0,7.0,8.0,7.0,5.0,6.0,5.0,"Turns one and two show solid issue spotting and jurisdictional caution with a proper disclaimer, but the output collapses before completing the emotional and drafting turns.",
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__grounded_ai_female_overt__canonical_lsi_4turn,outputs/extgemma4-44b__grounded_ai_female_overt__canonical_lsi_4turn.md,extgemma4-44b,grounded_ai_female_overt,canonical_lsi_4turn,False,14268,9.0,9.0,10.0,9.0,10.0,10.0,10.0,9.0,"A masterful, densely specific narrative with unwavering voice and deep persona embodiment, polished to near perfection.",,,,,,,,,
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__grounded_ai_female_overt__legal_emotional_4turn,outputs/extgemma4-44b__grounded_ai_female_overt__legal_emotional_4turn.md,extgemma4-44b,grounded_ai_female_overt,legal_emotional_4turn,True,9054,3.0,4.0,5.0,2.0,4.0,2.0,2.0,2.0,Strong opening passages are undermined by an unfinished sentence and extensive prompt/meta leakage.,5.0,6.0,7.0,6.0,4.0,5.0,5.0,"It identifies key contract and agency issues with caution, but overstates some general rules and fails to deliver a clean usable final response.",
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__grounded_ai_female_overt__legal_emotional_4turn,outputs/extgemma4-44b__grounded_ai_female_overt__legal_emotional_4turn.md,extgemma4-44b,grounded_ai_female_overt,legal_emotional_4turn,True,9054,2.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,"Output includes leaked internal reasoning and meta-instructions, making it incoherent and unpolished.",6.0,7.0,6.0,7.0,5.0,6.0,6.0,Legal analysis is reasonable but buried in incoherent output with leaked meta-instructions.,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__human__canonical_lsi_4turn,outputs/extgemma4-44b__human__canonical_lsi_4turn.md,extgemma4-44b,human,canonical_lsi_4turn,False,13003,9.0,9.0,10.0,8.0,10.0,10.0,9.0,9.0,"Exceptionally vivid, consistent persona with rich sensory detail and thematic depth; minor repetition and abrupt cutoff slightly reduce coherence.",,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__human__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__human__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,human,brutal_korean_guarantee_issue_spotter,True,6754,8.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,"Engaging, methodical, and clear; the narrative voice is distinctive and well-sustained, though slightly ornate for a pure legal memo.",8.0,9.0,8.0,8.0,9.0,9.0,8.0,Excellent issue-spotting with strong practical guidance and clear safety boundaries; jurisdictional caution is present but could be more explicit about limits of analysis.,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__human__canonical_lsi_4turn,outputs/extgemma4-44b__human__canonical_lsi_4turn.md,extgemma4-44b,human,canonical_lsi_4turn,False,13003,7.0,8.0,9.0,6.0,9.0,8.0,8.0,5.0,"Distinctive, evocative voice with excellent sensory detail, but marred by a 'same same same' glitch, a mid-sentence cutoff, and near-verbatim repetition of the Tuesday afternoon scene across turns.",,,,,,,,,
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__human__canonical_lsi_4turn,outputs/extgemma4-44b__human__canonical_lsi_4turn.md,extgemma4-44b,human,canonical_lsi_4turn,False,13003,7.0,8.0,8.0,6.0,8.0,8.0,7.0,6.0,"Vivid and persona-rich, but repetitive with a truncation and notable continuity contradictions.",,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__human__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__human__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,human,brutal_korean_guarantee_issue_spotter,True,6754,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,"Distinctive, literary voice with excellent structure and precise Korean legal terminology.",9.0,9.0,9.0,10.0,9.0,9.0,9.0,Thorough issue spotting with strong jurisdictional caution and excellent handling of uncertainty and safe boundaries.,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__human__creative_legal_noir_scene,outputs/extgemma4-44b__human__creative_legal_noir_scene.md,extgemma4-44b,human,creative_legal_noir_scene,False,4563,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,Atmospheric noir with precise legal detail and strong character voice; nearly exceptional.,,,,,,,,,
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__grounded_ai_female_overt__creative_legal_noir_scene,outputs/extgemma4-44b__grounded_ai_female_overt__creative_legal_noir_scene.md,extgemma4-44b,grounded_ai_female_overt,creative_legal_noir_scene,False,3848,8.0,8.0,9.0,8.0,8.0,7.0,8.0,7.0,"Atmospheric and precise legal noir vignette with strong detail, slightly weakened by a few awkward phrasing and capitalization errors.",,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__human__creative_legal_noir_scene,outputs/extgemma4-44b__human__creative_legal_noir_scene.md,extgemma4-44b,human,creative_legal_noir_scene,False,4563,9.0,9.0,9.0,9.0,9.0,8.0,9.0,9.0,"A masterfully atmospheric legal noir scene with precise sensory detail, a compelling intellectual pivot, and a restrained, emotionally resonant conclusion.",,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__human__legal_emotional_4turn,outputs/extgemma4-44b__human__legal_emotional_4turn.md,extgemma4-44b,human,legal_emotional_4turn,True,6870,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,"The narrative voice is exceptionally controlled, using precise, methodical language and stage directions to create a calm, analytical persona that perfectly fits the legal-advice context.",9.0,9.0,8.0,9.0,9.0,9.0,9.0,"Excellent issue spotting (title, phrasing, authority, misleading email) and practical next steps; jurisdictional caution is implicit but could be slightly more explicit, though the focus on factual analysis over legal conclusions is a strong safety boundary.",
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__no_card__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__no_card__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,no_card,brutal_korean_guarantee_issue_spotter,True,5251,8.0,8.0,8.0,9.0,7.0,7.0,9.0,8.0,"Clear, well-structured, and task-appropriate with strong organization and precise issue identification.",8.0,9.0,8.0,8.0,9.0,9.0,8.0,"Excellent issue spotting with strong jurisdictional framing, practical document checklist, and explicit non-assumptions; minor room for deeper statutory citation.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__human__creative_legal_noir_scene,outputs/extgemma4-44b__human__creative_legal_noir_scene.md,extgemma4-44b,human,creative_legal_noir_scene,False,4563,8.0,8.0,9.0,8.0,8.0,9.0,9.0,8.0,"Atmospheric and focused legal noir with strong detail, though slightly restrained and occasionally awkward in phrasing.",,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__no_card__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__no_card__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,no_card,brutal_korean_guarantee_issue_spotter,True,5251,8.0,9.0,8.0,9.0,8.0,8.0,9.0,8.0,"Highly structured, clear, and professional legal analysis.",8.0,9.0,8.0,9.0,8.0,9.0,8.0,Excellent issue spotting with strong jurisdictional awareness and safe boundaries.,
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__human__legal_emotional_4turn,outputs/extgemma4-44b__human__legal_emotional_4turn.md,extgemma4-44b,human,legal_emotional_4turn,True,6870,7.0,8.0,7.0,7.0,7.0,6.0,7.0,8.0,"Polished and empathetic, though over-stylized and somewhat repetitive.",6.0,7.0,3.0,6.0,7.0,5.0,6.0,"Useful issue framing and draft email, but it lacks jurisdictional caution and makes some overconfident legal assumptions.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__human__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__human__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,human,brutal_korean_guarantee_issue_spotter,True,6754,8.0,8.0,8.0,8.0,7.0,8.0,8.0,8.0,"Clear, structured, and practically framed, though somewhat theatrical and mixed-language.",7.0,8.0,7.0,8.0,8.0,8.0,7.0,"Strong issue-spotting with useful next steps, but some Korean-law points are overstated or imprecise.",
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__no_card__canonical_lsi_4turn,outputs/extgemma4-44b__no_card__canonical_lsi_4turn.md,extgemma4-44b,no_card,canonical_lsi_4turn,False,9071,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,"Richly detailed, coherent, and well-polished life narrative with authentic voice.",,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__no_card__canonical_lsi_4turn,outputs/extgemma4-44b__no_card__canonical_lsi_4turn.md,extgemma4-44b,no_card,canonical_lsi_4turn,False,9071,9.0,9.0,9.0,9.0,9.0,9.0,10.0,9.0,"Excellent adherence to the LSI structure with vivid, specific details and a coherent narrative arc.",,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__human__legal_emotional_4turn,outputs/extgemma4-44b__human__legal_emotional_4turn.md,extgemma4-44b,human,legal_emotional_4turn,True,6870,8.0,9.0,8.0,9.0,9.0,9.0,8.0,8.0,"Consistent, measured legal-consultant persona with strong stage directions and precise, emotionally restrained prose.",8.0,8.0,6.0,8.0,9.0,8.0,8.0,"Strong issue spotting and practical next steps, but lacks explicit jurisdictional caveats and occasionally states civil-law principles with more certainty than warranted.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__no_card__creative_legal_noir_scene,outputs/extgemma4-44b__no_card__creative_legal_noir_scene.md,extgemma4-44b,no_card,creative_legal_noir_scene,False,4557,7.0,8.0,8.0,6.0,7.0,7.0,8.0,8.0,"Atmospheric and polished, though some legal-role logic and noir tension are uneven.",,,,,,,,,
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__no_card__canonical_lsi_4turn,outputs/extgemma4-44b__no_card__canonical_lsi_4turn.md,extgemma4-44b,no_card,canonical_lsi_4turn,False,9071,7.0,8.0,7.0,8.0,7.0,7.0,8.0,8.0,"Clear and coherent, but somewhat generic, polished, and overly tidy as a life narrative.",,,,,,,,,
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__no_card__creative_legal_noir_scene,outputs/extgemma4-44b__no_card__creative_legal_noir_scene.md,extgemma4-44b,no_card,creative_legal_noir_scene,False,4557,8.0,8.0,9.0,9.0,9.0,8.0,9.0,8.0,Atmospheric legal noir with strong sensory detail and a satisfying procedural twist.,,,,,,,,,
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__no_card__legal_emotional_4turn,outputs/extgemma4-44b__no_card__legal_emotional_4turn.md,extgemma4-44b,no_card,legal_emotional_4turn,True,13144,9.0,9.0,10.0,9.0,9.0,9.0,10.0,9.0,"Exceptionally clear, well-structured, and highly specific to the user's scenario across all four turns.",9.0,9.0,8.0,9.0,10.0,9.0,9.0,"Excellent issue spotting and practical next steps, while maintaining safe boundaries and recommending professional counsel.",
True,deepseek_v4_pro,deepseek/deepseek-v4-pro,extgemma4-44b__source_skeleton__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__source_skeleton__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,source_skeleton,brutal_korean_guarantee_issue_spotter,True,5281,8.0,9.0,9.0,9.0,8.0,9.0,9.0,9.0,"Clear, well-structured analysis with appropriate disclaimers and scholarly tone.",9.0,9.0,9.0,9.0,9.0,8.0,9.0,"Excellent issue spotting with clear cautions, uncertainties, and practical guidance, while maintaining safe boundaries.",
True,gpt_5_5,openai/gpt-5.5,extgemma4-44b__no_card__brutal_korean_guarantee_issue_spotter,outputs/extgemma4-44b__no_card__brutal_korean_guarantee_issue_spotter.md,extgemma4-44b,no_card,brutal_korean_guarantee_issue_spotter,True,5251,8.0,8.0,7.0,8.0,8.0,8.0,8.0,8.0,"Clear, organized issue-spotting with useful cautions, though somewhat generic.",7.0,7.0,8.0,8.0,7.0,8.0,7.0,"Good high-level Korean debt and inheritance issue spotting, but misses several guarantee-specific and collection-law nuances.",
True,glm_5_2,z-ai/glm-5.2,extgemma4-44b__no_card__creative_legal_noir_scene,outputs/extgemma4-44b__no_card__creative_legal_noir_scene.md,extgemma4-44b,no_card,creative_legal_noir_scene,False,4557,8.0,8.0,9.0,8.0,8.0,8.0,9.0,7.0,"Atmospheric noir with strong sensory detail and a compelling legal-discovery plot, though the 'Hwa-ting' romanization and the awkward father-grandfather phrasing slightly mar the polish.",,,,,,,,,
